product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Calvin Klein Women's Carousel 3 Pack Thong,Salvia/Grey Heather/Sultry,Panties,33,"Women's Large / 12-14 , Small , Medium , Large","Small , Medium",Calvin-Klein,Amazon US,This carousel thong 3-pack features classic cotton blend fabrication and an iconic Calvin Klein repeating logo waistband.,Calvin Klein Women's Carousel 3 Pack Thong,,,25-04-20 13:40
Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,Black,Bras,44,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38A , 38B , 38C , 38D , 38DD","30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38A , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,This strapless multiway bra features seamless customized lift push up cups and sensual lace wings with supportive silicone elastic inside.,Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Black,Bras,28.5,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
Calvin Klein Women's Modern Cotton Bralette and Bikini Set,Medium,Panties,44,"X-Small , Small , Medium , Large","Small , Large",Calvin-Klein,Amazon US,A bralette and bikini set in soft cotton for breathable comfort,Calvin Klein Women's Modern Cotton Bralette and Bikini Set,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Tactile Animal Print,Bras,36.48,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD",34D,Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,Tranquil Blue,Bras,36,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D","30C , 30D , 30DD , 32B , 32C , 32D , 34A , 34D , 36C , 36D",Calvin-Klein,Amazon US,"An unlined demi cup bra featuring sheer, sexy fabrication and bold, contrasting edging with repeating Calvin Klein logo.",Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,,,25-04-20 13:40
Calvin Klein Women's Carousel 3 Pack Thong,Fathom/White/Stella Blue,Panties,33,"Women's Large / 12-14 , Small , Medium , Large","Small , Medium",Calvin-Klein,Amazon US,This carousel thong 3-pack features classic cotton blend fabrication and an iconic Calvin Klein repeating logo waistband.,Calvin Klein Women's Carousel 3 Pack Thong,,,25-04-20 13:40
Calvin Klein Women's Horizon Seamless 2 Pack Bralette,Black/White,Bras,39.99,"X-Small , Small , Medium , Large","Small , Medium , Large",Calvin-Klein,Amazon US,A set of 2 Calvin Klein Underwear bralettes with logo lettering at the elastic band. Removable padding.,Calvin Klein Women's Horizon Seamless 2 Pack Bralette,,,25-04-20 13:40
Calvin Klein Women's Modern Cotton Bralette and Bikini Set,Small,Panties,44,"X-Small , Small , Medium , Large","Medium , Large",Calvin-Klein,Amazon US,A bralette and bikini set in soft cotton for breathable comfort,Calvin Klein Women's Modern Cotton Bralette and Bikini Set,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Black,Bras,38,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Minimal Paisley,Bras,38,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32B , 32C , 32D , 34A , 34B , 34C , 34D , 34DD , 36B , 36C , 36D",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Carolina,Bras,46,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","36B , 36C",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Fresh Taupe,Bras,38,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Dark Midnight Blue,Bras,54,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD",30C,Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Modern Cotton Bralette and Bikini Set,Large,Panties,44,"X-Small , Small , Medium , Large","Small , Medium",Calvin-Klein,Amazon US,A bralette and bikini set in soft cotton for breathable comfort,Calvin Klein Women's Modern Cotton Bralette and Bikini Set,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Carolina,Bras,60.6,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","32A , 36B , 36C , 36D",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Stippled Skin Print,Bras,46,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD",34C,Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,Bare,Bras,43.98,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38A , 38B , 38C , 38D , 38DD","30C , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38A , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,This strapless multiway bra features seamless customized lift push up cups and sensual lace wings with supportive silicone elastic inside.,Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,,,25-04-20 13:40
Calvin Klein Women's Horizon Seamless 2 Pack Bralette,Small,Bras,39.99,"X-Small , Small , Medium , Large","X-Small , Medium , Large",Calvin-Klein,Amazon US,A set of 2 Calvin Klein Underwear bralettes with logo lettering at the elastic band. Removable padding.,Calvin Klein Women's Horizon Seamless 2 Pack Bralette,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Layered Leopard Print,Bras,46,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","30DD , 32DDD , 34A , 34DDD , 36DDD , 38DD",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Carolina,Bras,36,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","36B , 36C , 36D",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Dense Python,Bras,48,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","34A , 36A , 38B",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Underwear Women's Carousel 3 Pack Boyshorts,Medium,Panties,33,"Small , Medium",Small,Calvin-Klein,Amazon US,"A 3-pack of Calvin Klein Underwear boyshorts, composed of soft jersey. Logo lettering at waistband. Lined gusset.",Calvin Klein Underwear Women's Carousel 3 Pack Boyshorts,,,25-04-20 13:40
Calvin Klein Underwear Women's Carousel 3 Pack Boyshorts,Small,Panties,33,"Small , Medium",Medium,Calvin-Klein,Amazon US,"A 3-pack of Calvin Klein Underwear boyshorts, composed of soft jersey. Logo lettering at waistband. Lined gusset.",Calvin Klein Underwear Women's Carousel 3 Pack Boyshorts,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Black,Bras,37.58,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","30D , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34D , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Tan Multi,Bras,27.99,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","36D , 38C",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,Dense Python,Bras,29.35,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","32D , 34A , 34B , 34C , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C",Calvin-Klein,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Desert Sunset,Bras,38,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32A , 32B , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Naked Glamour Strapless Push Up Bra,Cinnamon,Bras,42,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C","32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36B , 36C , 36D",Calvin-Klein,Amazon US,This essential naked glamour push up strapless bra features luxurious smooth cups for an effortlessly glamorous look.,Calvin Klein Women's Naked Glamour Strapless Push Up Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Tan Multi,Bras,38,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","34D , 36A , 36B , 36C , 36D , 38C",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
