product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Signature Lace Plus Size Original Rise Thong 4811X,Black,Women - Lingerie & Shapewear - Panties,22,OS,OS,Hanky Panky,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Signature Lace Original Thong is made of beautiful, soft lace and has a flattering v-shaped waistband. Best of all-there's no visible panty line! Style #4811X",Signature Lace Plus Size Original Rise Thong 4811X,5,1,26-04-20 19:25
Logo Boyshort F3788,Black,Women - Lingerie & Shapewear - Panties,22,"XS, S, M, L, XL","XS, S, M, L, XL",Calvin Klein Modern Cotton,Macys US,Perfectly comfortable. The Modern Cotton Logo Boyshort by Calvin Klein will be your new go-to style on those laid back days. Style #F3788 #mycalvins,Logo Boyshort F3788,4.7,25,26-04-20 19:25
Icon Full Slip F3661,Black,Women - Lingerie & Shapewear - Sexy Lingerie,48,"S, M, L","S, M, L",Calvin Klein,Macys US,"Super soft, thin and slinky. The Icon Full Slip by Calvin Klein is built for maximum breathability. Style #F3661",Icon Full Slip F3661,4.2,11,26-04-20 19:25
Organic Cotton Plus Size Conscience French Brief 892461X,Black,Women - Lingerie & Shapewear - Panties,37,"1X, 2X, 3X","1X, 2X, 3X",Hanky Panky,Macys US,"Delicate organic cotton makes the Conscience French Brief so soft. Designed by Hanky Panky, they feature a wide lace waistband. Style #892461X",Organic Cotton Plus Size Conscience French Brief 892461X,4.8,5,26-04-20 19:25
Iron Strength Low-Impact Logo Bralette QF1537,Black,Women - Lingerie & Shapewear - Bras,36,"S, M, L","S, M, L",Calvin Klein,Macys US,Cutout details at the bust and straps are paired with the iconic Calvin Klein logo and crisscross straps in this ultra modern bralette from Calvin Klein.,Iron Strength Low-Impact Logo Bralette QF1537,4.1,7,26-04-20 19:25
Bare Lace Thong QD3596,Black,Women - Lingerie & Shapewear - Panties,13,"S, M, L","S, M, L",Calvin Klein,Macys US,"Chic and comfortable, this thong from Calvin Klein is designed from gorgeous sheer lace.",Bare Lace Thong QD3596,4.7,3,26-04-20 19:25
After Midnight Open Panel Teddy 488406,Black,Women - Lingerie & Shapewear - Sexy Lingerie,78,"S, M, L","S, M, L",Hanky Panky,Macys US,Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. The Open Panel Teddy features a lace body with decorative bow details and an open panel design. Style #488406,After Midnight Open Panel Teddy 488406,3.7,3,26-04-20 19:25
Halo Lace Molded Underwire Bra 851205,Black,Women - Lingerie & Shapewear - Designer Lingerie,48,"32C, 32D, 32DD, 32DDD, 32G, 34B, 34C, 34D, 34DD, 34DDD, 34G, 36B, 36C, 36D, 36DD, 36DDD, 36G, 38B, 38C, 38D, 38DD, 38DDD, 40C, 40D, 40DD, 40DDD","32C, 32D, 32DD, 32DDD, 32G, 34B, 34C, 34D",Wacoal,Macys US,A gorgeous lace overlay makes this supportive style so elegant. The Halo Lace Molded Underwire Bra by Wacoal features cross-dye lace cups and fully-adjustable straps with a j-hook for t-back adjustment. Style #851205,Halo Lace Molded Underwire Bra 851205,4.6,65,26-04-20 19:25
Logo Bikini F3787,Black,Women - Lingerie & Shapewear - Panties,20,"XS, S, M, L, XL","XS, S, M, L, XL",Calvin Klein Modern Cotton,Macys US,You'll want this classic style in your collection. Calvin Klein's Modern Cotton Logo Bikini features a wide elastic waistband that's decorated with the brand's signature logo. Style #F3787,Logo Bikini F3787,4.6,27,26-04-20 19:25
Feather Full Figure Sheer-Embroidery Underwire Bra 85121,Black,Women - Lingerie & Shapewear - Bras,56,"32C, 32D, 32DD, 34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C, 38D, 38DD, 40B, 40C, 40D, 40DD","32C, 32D, 32DD, 34B, 34C, 34D, 34DD, 36B, 36C",Wacoal,Macys US,Gorgeous embroidered sheer mesh and picot-lace trim add a touch of style to this full figure bra from Wacoal.,Feather Full Figure Sheer-Embroidery Underwire Bra 85121,4,1,26-04-20 19:25
Classic Reinvention Soft-Cup Bra 852263,Black,Women - Lingerie & Shapewear - Bras,38,"30A/B, 30C/D, 32A/B, 32C/D, 34A/B, 34C/D, 36A/B, 36C/D, 38A/B, 38C/D, 40A/B, 40C/D","30A/B, 30C/D, 32A/B, 32C/D, 34A/B, 34C/D, 36A/B",Wacoal,Macys US,"Discover the soft, supportive comfort of this Classic Reinvention bra by Wacoal.",Classic Reinvention Soft-Cup Bra 852263,4.5,4,26-04-20 19:25
Slimline Seamless Minimizer Bra 85154,Black,Women - Lingerie & Shapewear - Bras,65,"32DD, 32DDD, 34C, 34D, 34DD, 34DDD, 36C, 36D, 36DD, 36DDD, 38C, 38D, 38DD, 38DDD, 40C, 40D, 40DD, 40DDD","32DD, 32DDD, 34C, 34D, 34DD, 34DDD, 36C, 36D",Wacoal,Macys US,Slim your silhouette without losing shape. The Slimline seamless bra by Wacoal minimizes your bust up to one inch while keeping a youthful profile. Style #85154,Slimline Seamless Minimizer Bra 85154,4.7,89,26-04-20 19:25
Embrace Lace Contour Bra 853191,Black,Women - Lingerie & Shapewear - Sexy Lingerie,60,"30D, 30DD, 30DDD, 32C, 32D, 32DD, 32DDD, 32G, 34B, 34C, 34D, 34DD, 34DDD, 34G, 36B, 36C, 36D, 36DD, 36DDD, 36G, 38B, 38C, 38D, 38DD, 38DDD, 38G, 40C, 40D, 40DD, 40DDD","30D, 30DD, 30DDD, 32C, 32D, 32DD, 32DDD, 32G",Wacoal,Macys US,"The latest style from Wacoal's popular Embrace Lace collection, this beautiful contour bra provides subtle cleavage with soft, molded cups. Style #853191",Embrace Lace Contour Bra 853191,4.5,75,26-04-20 19:25
Halo Soft Cup Bra 811205,Black,Women - Lingerie & Shapewear - Bras,30,"30, 32, 34, 36, 38, 40","30, 32, 34, 36, 38, 40",Wacoal,Macys US,"Crafted in stretchy lace, the Halo Soft Cup Bra by Wacoal is fully-lined and features an adjustable j-hook on the back so you can wear it as a t-strap.",Halo Soft Cup Bra 811205,3.6,8,26-04-20 19:25
Embrace High-Cut Embroidered Brief 841191,Black,Women - Lingerie & Shapewear - Panties,27,"S, M, L, XL, XXL","S, M, L, XL, XXL",Wacoal,Macys US,"Delicate, sheer lace meets a gorgeous, floral embroidery design in this stunning brief from Wacoal.",Embrace High-Cut Embroidered Brief 841191,4,1,26-04-20 19:25
Comfort Bra QF1523,Black,Women - Lingerie & Shapewear - Designer Lingerie,42,"34A, 34B, 34C, 36A, 36B, 36C, 36D, 38B, 38C","34A, 34B, 34C, 36A, 36B, 36C, 36D, 38B, 38C",Calvin Klein,Macys US,Seamless and wireless for a perfectly smooth shape. You'll love Calvin Klein's Comfort Bra. Style #QF1523,Comfort Bra QF1523,3.7,6,26-04-20 19:25
Retro Chic Full-Figure Underwire Bra 855186,Black,Women - Lingerie & Shapewear - Sexy Lingerie,60,"32D, 32DD, 32DDD, 32G, 34C, 34D, 34DD, 34DDD, 34G, 34H, 34I, 36C, 36D, 36DD, 36DDD, 36G, 36H, 36I, 38C, 38D, 38DD, 38DDD, 38G, 38H, 38I, 40C, 40D, 40DD, 40DDD, 40G, 40H, 40I, 42D, 42DD, 42DDD, 42G, 42H, 44D, 44DD, 44DDD, 44G, 44H, 46D, 46DD, 46DDD, 46G, 46H","32D, 32DD, 32DDD, 32G, 34C, 34D, 34DD, 34DDD",Wacoal,Macys US,"Truly the best of both worlds. Wacoal's Retro Chic Full Figure Bra offers gorgeous vintage-inspired styling that still supports and shapes you comfortably. It's decorated with Chantilly Lace and elegant crystal accents, yet still disappears under your clothes. It's feminine, flattering and fits you perfectly. The pretty fashion colors are updated twice a season. Style #855186",Retro Chic Full-Figure Underwire Bra 855186,4.6,198,26-04-20 19:25
Signature Lace Original Rise Thong 4811,Black,Women - Lingerie & Shapewear - Panties,20,OS,OS,Hanky Panky,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Signature Lace Original Rise Thong is made of beautiful, soft lace and has a flattering v-shaped waistband. It comes in an array of colors and best of all--there's no visible panty line! Style #4811",Signature Lace Original Rise Thong 4811,4.6,13,26-04-20 19:25
After Midnight Open Panel Cheeky Hipster 482921,Black,Women - Lingerie & Shapewear - Sexy Lingerie,32,"S, M, L","S, M, L",Hanky Panky,Macys US,Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. This Cheeky Hipster features an all-lace body and an open panel design. Style #482921,After Midnight Open Panel Cheeky Hipster 482921,5,1,26-04-20 19:25
Plus Size After Midnight Open Gusset Cheeky Hipster 482921X,Black,Women - Lingerie & Shapewear - Panties,36,"1X, 2X, 3X","1X, 2X, 3X",Hanky Panky,Macys US,Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. This Cheeky Hipster features an all-lace body and an open panel design. Style #482921X,Plus Size After Midnight Open Gusset Cheeky Hipster 482921X,3,1,26-04-20 19:25
Iron Strength Logo Thong QF1520,Black,Women - Lingerie & Shapewear - Panties,22,"S, M",S,Calvin Klein,Macys US,The perfect fit. This thong from Iron Strength by Calvin Klein features the iconic logo at the waistband and soft micro fabric that's smooth to the touch.,Iron Strength Logo Thong QF1520,3.4,5,26-04-20 19:25
B-Smooth High-Cut Brief 834175,Black,Women - Lingerie & Shapewear - Panties,15,"S, M, L, XL, XXL, 2X","S, M, L, XL, XXL",Wacoal,Macys US,"Seamless, smooth styling makes this high-cut B-Smooth Wacoal brief invisible under everything you wear. It features a seamless waistband for comfort. Style #834175",B-Smooth High-Cut Brief 834175,4.7,125,26-04-20 19:25
Seductive Comfort Lace-Waist Bikini QF1200,Black,Women - Lingerie & Shapewear - Panties,22,"S, M, L","S, M, L",Calvin Klein,Macys US,A beautiful lace waistband makes this Seductive Comfort bikini by Calvin Klein a style must-have.,Seductive Comfort Lace-Waist Bikini QF1200,5,2,26-04-20 19:25
Beauty Back Full Coverage Bra 75345,Black,Women - Lingerie & Shapewear - Bras,38,"34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C, 38D, 38DD, 40C, 40D, 42C, 42D","34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C",Vanity Fair,Macys US,Beautiful basics with a touch of sophistication. Vanity Fair's Beauty Back Full Coverage Bra features thick straps for comfortable support and two-ply wings for extra smoothing. Style #75345,Beauty Back Full Coverage Bra 75345,4.5,220,26-04-20 19:25
Pure Seamless Thong QD3544,Black,Women - Lingerie & Shapewear - Designer Lingerie,12,"XS, S, M, L, XL","S, M, L, XL",Calvin Klein,Macys US,This modern thong from Calvin Klein features seamless edges that create a clean look that's invisible under clothes.,Pure Seamless Thong QD3544,4.7,12,26-04-20 19:25
Retro Chic Contour Bra 853186,Black,Women - Lingerie & Shapewear - Designer Lingerie,65,"32D, 32G, 32H, 34D, 34H, 40DDD, 42DD, 42DDD, 44D, 44DD, 44DDD","32D, 34D, 42D",Wacoal,Macys US,"Superb support and lovely, feminine details come together in this seamless, full coverage, molded bra from Wacoal.",Retro Chic Contour Bra 853186,4.3,11,26-04-20 19:25
Awareness Wireless Bra 85276,Black,Women - Lingerie & Shapewear - Designer Lingerie,60,"34B, 34C, 34D, 34DD, 34DDD, 36B, 36C, 36D, 36DD, 36DDD, 38B, 38C, 38D, 38DD, 38DDD, 40B, 40C, 40D, 40DD, 40DDD, 42C, 42D, 42DD, 42DDD, 44C, 44D, 44DD, 44DDD","34B, 34C, 34D, 34DD, 34DDD, 36C, 36D",Wacoal,Macys US,"Your favorite Wacoal bra, now in a soft-cup wireless design with amazing shape, support and pretty embroidery: the Awareness. Style #85276",Awareness Wireless Bra 85276,4.6,62,26-04-20 19:25
